	product_name	product_review	user_rating
10	King Julius	"4.9/5  rDev +2.7%
look: 4.5 | smell: 5 | taste: 5 | feel: 4.75 | overall: 4.75

Can stamped ""Warden of the North""
Canned 7/26/19
Golden murk trending towards beige, darker opaque than Julius
Quickly dissipating white fine head, spotty lacing and cap
Strong intoxicating orange, tropical, apricot, pineapple scents
Even more juicy orange, mango, grapefruit pith, light hop pine note
Smooth rich mouthfeel, hop tang at the end, sticky, medium carbonation, additional citrus aftertaste, pleasant hop bitterness, no alcohol heat
Unique

 451 characters

Reef, Jul 30, 2019"	4.9
11	King Julius	"4.84/5  rDev +1.5%
look: 4.75 | smell: 5 | taste: 4.75 | feel: 5 | overall: 4.75

The King in the North. Take Julius and crank it up a few notches on the flavor profile. Where Julius shines, KJ shines just a bit brighter. The smell is intoxicating and amazing. Immediately after opening the can the room is bursting with tropical hops. The term orange creamsicle and mango smoothie are apt descriptions by them.

 329 characters

tk-milkbone, Jul 09, 2019"	4.84
12	King Julius	"4.75/5  rDev -0.4%
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75

Pours an opaque white-orange with two fingers of white foam. Head retention is good. Aroma is tangerine, papaya, mango, nectarine and orange, with a very dense, bountiful tropical fruit make-up. Flavor profile is tangerine, papaya, mango, nectarine, orange and mandarin orange with smooth and dynamic playfulness between tropical fruits. It's dense and flavorful, without ever coming across ultra-sugary or sweet. Mouth feel is medium-thick with a soft and pillowy texture that welcomes the tongue. Overall, hearty tropical fruits with a splendid sweetness meets pillowy soft textures for a delightful brew.

Served in a 15.5oz Speigalau tulip from a 16oz can.

 660 characters

Harrison8, Jun 30, 2019"	4.75
13	King Julius	"4.43/5  rDev -7.1%
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.5 | overall: 4.5

Big thanks to Stofko1992 for sharing this one with me! The King pours out as a hazy orange color with a nice white head on top. Decent retention and scattered lacing. Notes of orange creamsicle and subtle pine on the nose. The taste has a piney resin punch up front that fades into a silky orange vanilla cream finish. The feel is smooth and kind of lingers for awhile which is nice. Overall it’s a solid beer and was great to finally try it.

 444 characters

Knapp85, Jun 09, 2019"	4.43
14	King Julius	"4.33/5  rDev -9.2%
look: 3 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5

It’s not the prettiest beer in the world.. looks like muddy pineapple juice. Hop sediment gets caught in the tight head. Smells like you plunged your head into freshly crushed hops. Crazy, pithy citrus aromas, pineapple and vanilla.

 234 characters

StoutSnob40, May 17, 2019"	4.33
15	King Julius	"5/5  rDev +4.8%
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5

I am lucky enough to live within driving distance of Treehouse, so this is actually not a hard beer for me to enjoy. If you know that hoppy-grape bubblegum smell that hits you when you approach the Treehouse doors, that's what this smells like.

I am not a fan of juicy IPA ... I prefer the citrus/pine/resin style. Oddly, I'd leave a Julius if offered one however King Julius isn't as juice forward which is probably why I love it. It lacks that sweet pineapple, pulpy orange juice flavor of a juicy IPA and adds some piney lemon. It's like a hazy version of Sip of Sunshine.

I love everything about this beer, from the smell to the taste. I just wish it packed a stronger buzz factor, for some reason after 2 I am not feeling much whereas one or two cans of many Treehouse offerings make me feel light and fuzzy. Usually there is a 2-4 can limit so even those who live close by to TH will ration this stuff. This to me is what a great IPA is.

 945 characters

Nuttin_but_the_best_Clark, May 16, 2019"	5
16	King Julius	"4.77/5  rDev 0%
look: 5 | smell: 4.25 | taste: 5 | feel: 5 | overall: 4.75

L - orange color, murky body

S - Slightly bigger than standard Julius

T - Orange sherbet, orange cream, cream soda, dank hop juice

F - Creamy and full

O - Amazing beer. Adds to regular Julius and then some

 209 characters

ThrewRedButter, May 13, 2019"	4.77
17	King Julius	"4.27/5  rDev -10.5%
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25

Sampling a cellar temp 16 oz can poured into my snifter. The beer pours a cloudy orange color with a bright white bleached head of 1 cm that foams up even with a gentle pour. The foam fades away to a sturdy surface layer soon after the pour. There is some windowpane lacing on the sides of my glass after each sip.
The aroma is fairly bold and is expected for the style and beer. Lots of citrusy notes with orange and tangerine notes.
The first sip reveals a fairly light creamy textured body with fine yet slightly prickly carbonation. Easy drinking brew so far.
Flavor is citrus again, with orange and some mango notes mixing again. I also get a little bit of grapefruit rind bitterness on the finish. There is no hint of any booze and the beer is very easy to drink. Im glad to have enjoyed this one and would recommend it to folks that are really into the NEIPA scene, but Im not sure Ill chase this one next time

 922 characters

sulldaddy, May 12, 2019"	4.27
18	King Julius	"4.89/5  rDev +2.5%
look: 5 | smell: 4.75 | taste: 5 | feel: 5 | overall: 4.75

Tasted from can. Pours murky orange with thick orange head. Huge citrus and orange aroma. Super well balanced crushable IPA. Citrus flavors dominate. Goes down way too easy.

 174 characters

Rristow, May 11, 2019"	4.89
19	King Julius	"3.9/5  rDev -18.2%
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4

Not to say it's bad in any way but when a beer has the hype this has I just felt let down. Smooth and good body but kind of had an over ripe fruit dankness to it that just didnt land great for me. Checked off the bucket list.

 227 characters

brutalfarce, May 07, 2019"	3.9
20	King Julius	"4/5  rDev -16.1%
look: 3.75 | smell: 4.25 | taste: 4 | feel: 3 | overall: 4.25

Fully opaque maize-tan with a large fluffy white head settling to a persistent film and chunky collar.

Taste is orange and papaya with a tangy green hoppy zip, almost like mint. A hint of Nilla wafer leans in before a lightly sharp, acidic swallow.

The frothy body is round and full but quickly rushes into an overwhelmingly chewy, chalk dry finish.

Still good, but severely unbalanced. Regular Julius is much more enjoyable overall.

 436 characters

Sabtos, May 06, 2019"	4
21	King Julius	"4.6/5  rDev -3.6%
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5

Fresh can, Orange straw, fully hazed. Big fluffy head.
Aroma is big full force citrus. OJ and layers of fruit.
Flavor is orange juice, citrus zest, fresh tropical hoppy fruit. Not crazy sweet, nice balance.
Soft and smooth with moderate carbonation and medium body.
Met my somewhat high expectations. Have had mixed feelings about some highly rated Tree House, but this was excellent

 391 characters

jhavs, May 02, 2019"	4.6
22	King Julius	"4.63/5  rDev -2.9%
look: 5 | smell: 5 | taste: 4.5 | feel: 4.25 | overall: 4.5

Pours a deep gold with a close to full haze can see slightly through the edges of the beer. The aroma is a wonderful tropical citrus medley of candied orange peel, mango, peach and grapefruit. The flavor follows the nose with a burst of tropical citrus candy up front, thankfully not cloying, with a great piney, green resinous bitterness which makes for a great contrast to the candied tropical flavors. The mouthfeel is a light density and medium viscosity with a slightly astringent finish. Wonderful beer that I wish more people could experience without the hype, but thankfully it does a solid job of living up to it and I’m pumped I finally got to try it.

 663 characters

sfielder001, Apr 29, 2019"	4.63
23	King Julius	"4.19/5  rDev -12.2%
look: 3 | smell: 4.5 | taste: 4.25 | feel: 3.75 | overall: 4.25

Tasty yet predictable NEIPA... they're starting to all taste the same. This one has good aroma and flavor, not elite. Drinks a little muddy and yeasty but still quite enjoyable

 176 characters

jbertsch, Apr 24, 2019"	4.19
24	King Julius	"4.75/5  rDev -0.4%
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75

Very cloudy straw-orange appearance with slight white head. Aroma is a prominent grapefruit that is slightly tangy. Taste is also a prominent grapefruit with a tangy touch.

 174 characters

Radcpa, Apr 20, 2019"	4.75
